#city state type lat lng population
Columbus GA LOCAL 32.51 -84.88 249510
Manhattan KS LOCAL 39.19 -96.60 63765
Sierra_Vista AZ LOCAL 31.56 -110.32 76200
Tuscaloosa AL LOCAL 33.23 -87.53 175272
St_Michael MN LOCAL 45.20 -93.69 72896
Cleveland OH METRO 41.48 -81.68 2797799
Middletown NY LOCAL 41.45 -74.42 107236
Columbia MO LOCAL 38.95 -92.33 132806
Greenville SC LOCAL 34.84 -82.36 785613
Idaho_Falls ID LOCAL 43.49 -112.04 117729
Bellingham WA LOCAL 48.75 -122.47 176268
St_Louis MO METRO 38.64 -90.25 3562661
Grand_Forks ND LOCAL 47.92 -97.09 63767
Binghamton NY LOCAL 42.10 -75.91 185279
Boston MA METRO 42.32 -71.09 6096497
Tucson AZ METRO 32.15 -110.88 1287240
Oxnard CA LOCAL 34.20 -119.18 1049642
Texas_City TX LOCAL 29.42 -94.97 388150
Leesburg VA LOCAL 39.11 -77.55 298622
New_Orleans LA METRO 30.07 -89.93 1582791
San_Juan PR METRO 18.40 -66.06 2297859
Houma LA LOCAL 29.58 -90.71 166972
San_Angelo TX LOCAL 31.44 -100.45 97481
Tampa FL METRO 27.99 -82.44 4890271
Lakeland FL LOCAL 28.06 -81.95 770861
Elkhart IN LOCAL 41.69 -85.96 196676
Bowling_Green KY LOCAL 36.97 -86.44 94555
Pascagoula MS LOCAL 30.37 -88.55 88355
Sumter SC LOCAL 33.94 -80.39 77626
Cape_Coral FL METRO 26.64 -82.00 1379420
Montgomery AL LOCAL 32.35 -86.27 263285
Lancaster PA LOCAL 40.04 -76.30 508941
Muncie IN LOCAL 40.20 -85.39 98165
Atlantic_City NJ LOCAL 39.38 -74.45 341069
Frederick MD LOCAL 39.43 -77.41 221874
Nashua NH LOCAL 42.75 -71.49 394897
Washington DC METRO 38.90 -77.02 8689665
Killeen TX LOCAL 31.08 -97.73 391474
Gadsden AL LOCAL 34.01 -86.02 53626
Harrisburg PA LOCAL 40.28 -76.88 956417
Hammond LA LOCAL 30.51 -90.46 82999
Albany NY METRO 42.67 -73.80 802626
Casper WY LOCAL 42.84 -106.32 63962
Denton TX LOCAL 33.22 -97.14 806709
Bossier_City LA LOCAL 32.52 -93.67 74905
Santa_Fe NM LOCAL 35.66 -105.98 95498
Fort_Worth TX METRO 32.78 -97.35 2040379
Bloomington IL LOCAL 40.48 -88.97 187409
Bridgeport CT METRO 41.19 -73.20 2463720
Merced CA LOCAL 37.31 -120.48 263026
Anderson IN LOCAL 40.09 -85.69 94135
Port_St_Lucie FL LOCAL 27.28 -80.39 605012
Lake_Charles LA LOCAL 30.20 -93.21 183972
Richmond KY LOCAL 37.73 -84.29 51517
Stockton CA LOCAL 37.98 -121.31 755129
San_Francisco CA METRO 37.76 -122.44 8423490
San_Diego CA METRO 32.83 -117.12 4868352
Kansas_City MO METRO 39.12 -94.55 2828843
Akron OH METRO 41.08 -81.52 1265223
Lynchburg VA LOCAL 37.40 -79.19 125710
Missoula MT LOCAL 46.88 -114.02 93723
St_Joseph MO LOCAL 39.76 -94.82 79349
Madison MS LOCAL 32.47 -90.13 61787
Naperville IL LOCAL 41.75 -88.17 1989715
Tallahassee FL LOCAL 30.46 -84.25 273481
Jackson MI LOCAL 42.24 -84.40 87230
Weirton WV LOCAL 40.41 -80.57 65447
Hilo HI LOCAL 19.69 -155.09 81762
Hopkinsville KY LOCAL 36.84 -87.48 52747
Guayama PR LOCAL 17.97 -66.11 65343
Sherman TX LOCAL 33.63 -96.62 92061
Panama_City FL LOCAL 30.20 -85.60 224832
Springfield MO LOCAL 37.19 -93.29 311801
Wilkes-Barre PA LOCAL 41.25 -75.88 108046
Athens GA LOCAL 33.95 -83.37 143081
Hot_Springs AR LOCAL 34.49 -93.05 54259
Greensboro NC LOCAL 36.10 -79.83 1197966
Mayaguez PR LOCAL 18.20 -67.14 93426
Charleston WV LOCAL 38.35 -81.63 187360
Oklahoma_City OK METRO 35.47 -97.51 1436104
Clarksville TN LOCAL 36.57 -87.34 183798
Fort_Collins CO LOCAL 40.55 -105.07 410160
Raleigh NC METRO 35.83 -78.64 1980353
Poughkeepsie NY LOCAL 41.69 -73.92 446728
Waco TX LOCAL 31.56 -97.19 239603
Honolulu HI METRO 21.33 -157.85 1430793
Deltona FL LOCAL 28.91 -81.21 531863
Bismarck ND LOCAL 46.81 -100.77 90420
Morgantown WV LOCAL 39.64 -79.95 86752
Albuquerque NM METRO 35.11 -106.65 932023
El_Paso TX METRO 31.85 -106.43 873979
Janesville WI LOCAL 42.69 -89.01 108711
Williamsburg VA LOCAL 37.27 -76.71 83021
Concord NH LOCAL 43.23 -71.56 52198
Palm_Bay FL LOCAL 27.96 -80.66 854179
Glens_Falls NY LOCAL 43.31 -73.65 83311
Lawrence KS LOCAL 38.96 -95.26 103245
Louisville KY METRO 38.17 -85.65 1085835
Provo UT METRO 40.25 -111.65 1049422
Pearl MS LOCAL 32.27 -90.09 66966
Reading PA LOCAL 40.34 -75.93 297238
Dubuque IA LOCAL 42.50 -90.71 67916
Wilmington NC LOCAL 34.21 -77.89 313625
Buffalo NY METRO 42.90 -78.85 1111184
Appleton WI LOCAL 44.28 -88.39 260401
Long_Branch NJ LOCAL 40.30 -73.99 174582
Pasco WA LOCAL 46.25 -119.13 74266
Baton_Rouge LA METRO 30.44 -91.13 789638
Lansing MI LOCAL 42.71 -84.56 452664
Columbia SC METRO 34.04 -80.90 785134
Yauco PR LOCAL 18.03 -66.86 80307
Eau_Claire WI LOCAL 44.82 -91.49 110966
